Name;Day;Month;Year;HourUT;MinuteUT;Latitude;Longitude
Jean WILLERWAL;28;9;1924;3;0;50.43N;3.10E
Roger TAILLIBERT;21;1;1926;17;30;47.13N;2.04E
Paul ANDREU;10;7;1938;7;0;44.5N;0.35W
Jean RENAUDIE;8;6;1925;7;0;45.31N;1.12E
Claude PARENT;26;2;1923;20;0;48.53N;2.16E
Paul CHEMETOV;6;9;1928;20;15;48.51N;2.21E
Pierre RIBOULET;20;7;1928;0;30;48.49N;2.13E
Gérard THURNAUER;24;9;1926;9;30;48.51N;2.21E
Jean-LOUIS VERET;20;11;1927;9;0;48.51N;2.21E
Claude VASCONI;24;6;1940;12;45;48.3N;7.28E
Edmond LAY;1;7;1930;5;0;43.08N;0.23E
Michel ANDRAULT;17;12;1926;8;5;48.49N;2.19E
Pierre PARAT;16;4;1928;19;25;48.48N;2.08E
Adrien FAINSILBERT;15;6;1932;9;30;50.01N;3.47E
Jean NOUVEL;12;8;1945;17;0;44.24N;0.42E
André WOGENSCKY;3;6;1916;3;45;48.01N;6.36E
Christian HAUVETTE;30;11;1944;20;0;43.18N;5.22E
Dominique PERRAULT;9;4;1953;9;0;45.47N;3.05E
Jacques HONDELATTE;10;5;1942;18;45;46.51N;0.30W
Patrick BERGER;10;11;1947;14;30;48.51N;2.21E
Anne LACATON;2;8;1955;17;0;45.30N;0.45E
Frédéric BOREL;17;11;1958;17;30;46.02N;4.04E
Marc BARANI;23;4;1957;7;30;43.46N;7.30E
Jean-Marc IBOS;12;10;1957;0;15;48.51N;2.12E
Myrto VITART;22;3;1955;8;0;48.50N;2.14E
Pierre-Louis FALOCI;16;7;1949;7;50;43.43N;7.16E
