Name;Day;Month;Year;HourUT;MinuteUT;Latitude;Longitude
Fernand Andréani;18;8;1923;1;45;36.73N;3.09E
Hélène Boucher;23;5;1908;10;51;48.86N;2.35E
Henry Lafont;10;8;1920;4;0;44.45N;1.44E
Henri Fabre;29;11;1882;8;38;43.3N;5.37E
Louis Blériot;1;7;1872;23;37;50.17N;3.24E
Roland Glavany;28;4;1922;13;0;47.22N;1.55W
Jean Mermoz;9;12;1901;1;51;49.84N;4.2E
Nadar;6;4;1820;3;51;48.86N;2.35E
Henri Guillaumet;29;5;1902;11;51;48.96N;4.36E
André Turcat;23;10;1921;22;0;43.3N;5.37E
Claude Raoul-Duval;22;10;1919;14;0;48.86N;2.35E
Pierre Clostermann;28;2;1921;23;45;25.43S;49.27W
Georges Guynemer;24;12;1894;10;21;48.86N;2.35E
Roland Garros;6;10;1888;5;3;20.89S;55.45E
Antoine de Saint-Exupery;29;6;1900;8;56;45.76N;4.84E
Bernard Ziegler;12;3;1933;14;0;48.84N;2.24E
Didier Daurat;2;1;1891;12;50;48.86N;2.45E
Jean Boulet;16;11;1920;12;30;48.7N;2.5E
Albert Maltret;11;9;1936;7;0;48.4N;3.75W
