Name;Day;Month;Year;HourUT;MinuteUT;Latitude;Longitude
Henri Guygot;30;10;1921;15;0;47.27N;2.21W
Paul Brunet;20;4;1935;18;45;46.62N;0.3E
Louis Le Bail;18;7;1922;4;30;48.43N;3.33W
Armand Melkonian;19;5;1938;1;45;48.86N;2.35E
Gérard Renoux;13;1;1939;7;0;48.9N;2.52E
Jean-Marie Stoeckel;24;12;1944;16;30;48.25N;7.18E
Jean-Claude Jambon;11;9;1942;0;0;46.31N;4.83E
Albert Golay;21;3;1935;14;10;46.75N;5.91E
Philippe Bourguigbon;13;6;1951;7;30;48.27N;2.69E
Georges Pertuiset;31;10;1941;7;30;46.4N;6.65E
Serge Dubs;14;2;1953;16;45;48.57N;7.75E
Philippe Nusswitz;11;3;1963;1;0;48.08N;7.36E
Philippe Faure-Brac;25;2;1960;2;15;43.3N;5.37E
Olivier Poussier;27;4;1964;17;40;48.9N;2.2E
Eric Beaumard;5;11;1963;21;45;48.35N;1.2W
Lionel Leconte;3;2;1965;4;20;46.78N;4.85E
Richard Bernard;14;12;1971;8;30;45.78N;3.09E
Franck Thomas;17;1;1972;3;30;43.56N;7.02E
David Biraud;7;8;1972;17;50;46.7N;1.43W
Dominique Laporte;17;11;1972;4;12;48.94N;2.46E
Pascal Léonetti;11;9;1977;23;45;42.7N;9.45E
Manuel Peyrondet;14;2;1980;8;15;46.95N;4.3E
Benjamin Roffet;8;3;1981;7;20;45.74N;4.22E
Romain Iltis;19;12;1981;4;30;48.08N;7.36E
Jonathan Bauer-Monneret;25;7;1985;4;0;48.57N;7.75E
Gaëtan Bouvier;15;8;1984;5;0;45.36N;5.59E
Pascaline Lepeltier;9;1;1981;22;0;46.16N;1.15W
Florent Martin;22;9;1987;1;45;48.86N;2.35E
Xavier Thuizat;28;12;1985;19;0;46.13N;3.43E
