Name;Day;Month;Year;HourUT;MinuteUT;Latitude;Longitude
Georges Blanc;2;1;1943;10;50;46.21N;5.23E
Régis Marcon;14;6;1956;6;30;45.14N;4.44E
Emmanuel Renaut;26;1;1968;11;0;48.99N;2.3E
Eric Pras;1;3;1972;0;30;46.03N;4.07E
Bernard Pacaud;29;9;1947;5;45;48.12N;1.68W
Yannick Alléno;16;12;1968;16;15;48.88N;2.24E
Frédéric Anton;15;10;1964;22;30;46.13N;3.43E
Arnaud Lallement;28;6;1974;2;30;49.26N;4.03E
Gilles Goujon;10;12;1961;18;10;47.08N;2.4E
Alain Ducasse;13;9;1956;14;0;43.5N;0.77W
Anne-Sophie Pic;12;7;1969;8;10;44.9N;4.89E
Gérald Passédat;24;3;1960;16;45;43.3N;5.37E
Michel Guérard;27;3;1933;16;0;49.06N;1.71E
Guy Savoy;24;7;1953;20;20;46.99N;3.16E
Pierre Gagnaire;9;4;1950;20;0;45.38N;3.99E
Eric Fréchon;16;11;1963;7;15;49.9N;2.51E
Christian Le Squer;30;9;1962;22;40;47.8N;3.28W
Arnaud Donckele;29;3;1977;5;59;49.44N;1.1E
Alain Passard;4;8;1956;15;45;47.94N;1.23W
René Meilleur;24;12;1950;11;50;45.48N;6.53E
Maxime Meilleur;28;8;1975;0;15;45.48N;6.53E
Michel Troisgros;2;4;1958;18;30;46.03N;4.07E
Christophe Bacquié;9;6;1972;17;55;48.86N;2.45E
Laurent Petit;22;6;1963;0;0;47.44N;5.33E
Christopher Coustanceau;12;10;1978;6;35;46.10N;1.09W
Glenn Viel;2;1;1980;9;15;48.48N;2.08E
