Name;Day;Month;Year;HourUT;MinuteUT;Latitude;Longitude
Agnès B;26;11;1941;14;15;48.8N;2.13W
André Courrèges;9;3;1923;10;45;43.3N;0.37W
Chantal Thomass;5;9;1947;2;0;48.82N;2.3E
Christian Audigier;21;5;1958;16;0;44.56N;6.08E
Christian Dior;21;1;1905;1;21;48.84N;1.6W
Christian Lacroix;16;5;1951;10;30;43.68N;4.63W
Christian Louboutin;6;1;1963;23;45;48.85N;2.35E
Christophe Guillarmé;15;9;1977;8;5;48.79N;2.29E
Coco Chanel;19;8;1883;16;0;47.26N;0.08E
Daniel Hechter;30;7;1938;13;30;48.86N;2.35E
Didier Lecoanet;8;4;1955;1;0;48.11N;5.14E
Emanuel Ungaro;13;2;1933;2;30;43.53N;5.45E
Guy Laroche;16;7;1921;4;0;46.16N;1.15W
Hedi Slimane;5;7;1968;11;25;48.8N;2.31E
Hermès;9;7;1940;4;30;43.83N;4.36E
Hubert de Givenchy;20;2;1927;11;30;49.43N;2.08E
Isabel Marant;12;4;1967;20;35;49.43N;2.08E
Jacques Doucet;19;2;1853;20;51;48.86N;2.35E
Jacques Fath;6;9;1912;9;50;48.95N;2.14E
Jacques Griffe;29;11;1909;1;51;43.21N;2.35E
Jean-Charles De Castelbajac;28;11;1949;22;0;33.57N;7.59W
Jean-Luc Scherrer;19;2;1935;16;0;45.76N;4.84E
Jean Patou;27;9;1887;19;51;48.86N;2.35E
Jean-Paul Gaultier;24;4;1952;18;0;48.8N;2.31E
Jeanne Lanvin;1;1;1867;0;51;48.86N;2.35E
Louis Vuitton;4;8;1821;2;39;46.2N;5.23E
Maxime Simoens;15;11;1984;1;0;50.59N;3.11E
Nicolas Ghesquière;9;5;1971;7;0;50.59N;3.11E
Paco Rabanne;18;2;1934;11;45;43.32N;1.98W
Philippe Venet;22;5;1929;13;45;45.7N;4.8E
Pierre Balmain;18;5;1914;8;15;45.27N;6.35E
Pierre Cardin;2;7;1922;13;0;45.7N;12.46E
Raymond Loewy;8;11;1893;9;25;48.86N;2.35E
Sonia Rykiel;25;5;1930;22;55;48.86N;2.35E
Ted Lapidus;23;6;1929;4;0;48.86N;2.35E
Thierry Mugler;21;12;1945;20;55;48.57N;7.75E
Val Piriou;29;8;1963;23;15;48.18N;1.68E
Yves Saint-Laurent;1;8;1936;19;45;35.7N;0.63W
