Name;Day;Month;Year;HourUT;MinuteUT;Latitude;Longitude
T.G. Masaccio;30;12;1401;7;14;43.57N;11.52E
Léonard De Vinci;23;4;1452;20;56;43.79N;10.93E
Michel-Ange;15;3;1475;0;57;43.64N;11.99E
Albrecht Durer;30;5;1471;10;16;49.45N;11.08E
Raphaël;5;4;1483;20;39;43.73N;12.64E
Joshua Reynolds;16;7;1723;9;21;50.39N;4.06W
Antonio Canova;1;11;1757;9;13;45.85N;11.88E
Caspar David Friedrich;5;9;1774;2;36;54.1N;13.39E
Edouard Manet;23;1;1832;18;51;48.86N;2.35E
Vincent Van Gogh;30;3;1853;10;41;51.47N;4.66E
Mary Cassatt;22;5;1844;23;40;40.44N;79.99W
Paul Cézanne;19;1;1839;0;38;43.53N;5.45E
Henri Matisse;31;12;1869;19;46;50.11N;3.54E
Umberto Boccioni;19;10;1882;14;12;38.11N;15.66E
René Magritte;21;11;1898;7;30;50.7N;3.89E
Piet Mondrian;7;3;1872;5;38;52.16N;5.39E
Pablo Picasso;25;10;1881;23;33;36.72N;4.42W
Frida Kahlo;6;7;1907;15;7;19.32N;99.15W
Andy Warhol;6;8;1928;10;30;40.44N;79.99W
Gustave Courbet;10;6;1819;2;35;47.09N;6.16E
Edgar Degas;19;7;1834;20;21;48.86N;2.35E
Georges Seurat;2;12;1859;0;51;48.86N;2.35E
Paul Gauguin;7;6;1848;9;51;48.86N;2.35E
Ernst Ludwig Kirchner;6;5;1880;5;53;49.97N;9.15E
Salvador Dali;11;5;1904;8;45;42.27N;2.96E
Jean-Baptiste Corot;16;7;1796;1;21;48.86N;2.35E
Auguste Renoir;25;2;1841;5;55;45.83N;1.26E
Franz Marc;8;2;1880;9;14;48.14N;11.59E
Marcel Duchamp;28;7;1887;13;55;49.5N;1.3E
Fernand Léger;4;2;1881;13;0;48.74N;0.02W
