Name;Day;Month;Year;HourUT;MinuteUT;Latitude;Longitude
Fernandel;8;5;1903;6;51;43.3N;5.37E
Fernand Raynaud;19;5;1926;10;30;45.78N;3.08E
Bourvil;27;7;1917;10;30;49.73N;0.86E
Louis de Funès;31;7;1914;1;0;48.9N;2.26E
Raymond Devos;9;11;1922;7;15;50.75N;3.22E
Jacqueline Maillan;11;1;1923;20;0;46.45N;4.12E
Robert Lamoureux;4;1;1920;5;0;48.86N;2.35E
Michel Leeb;23;4;1947;14;15;50.94N;6.96E
Alex Métayer;19;3;1930;4;30;43.48N;5.17E
Guy Montagnier;6;3;1948;16;0;48.86N;2.35E
Pierre Péchin;10;2;1947;8;15;47.51N;6.8E
Pierre Repp;5;11;1909;15;51;50.38N;2.33E
Sim;21;7;1926;14;0;42.89N;0.11W
Thierry Le Luron;2;4;1952;4;0;48.86N;2.35E
Jean Yanne;18;7;1933;0;0;48.88N;2.42E
Coluche;28;10;1944;17;20;48.89N;2.35E
Sylvie Joly;28;10;1934;23;0;48.86N;2.35E
Guy Bedos;15;6;1934;22;0;36.73N;3.09E
Popeck;18;5;1935;13;30;48.86N;2.35E
Pierre Desproges;9;5;1939;14;10;48.89N;2.4E
Roland Magdane;3;7;1949;20;45;45.19N;5.72E
Michel Boujenah;2;11;1952;11;0;36.8N;10.18E
Patrick Sébastien;14;11;1953;9;30;45.16N;1.53E
Philippe Chevallier;11;1;1956;2;20;47.65N;2.08W
Régis Laspalès;25;2;1957;4;0;48.86N;2.35E
Muriel Robin;2;8;1955;14;30;45.61N;4.06E
Sophia Aram;29;6;1973;19;5;48.65N;2.41E
Camille Chamoux;22;9;1977;21;45;48.86N;2.35E
Karine Dubernet;23;8;1974;10;35;43.42N;5.22E
Nicole Ferroni;19;3;1982;13;50;33.57N;7.59W
Nora Hamzawi;29;4;1983;5;35;43.55N;7.01E
Bérengère Krief;16;4;1983;10;45;45.76N;4.84E
Laura Laune;5;7;1986;11;31;50.85N;4.35E
Shirley Souag;3;10;1986;14;5;48.9N;2.3E
Caroline Vigneaux;27;1;1975;11;30;47.21N;1.55W
Dominique Lacoste;23;2;1958;14;0;45.99N;4.72E
Nicole Avezard;7;1;1951;19;0;48.69N;2.35E
Jean-Marie Bigard;17;5;1954;10;30;48.41N;4.17E
Anne Roumanoff;25;9;1965;4;50;48.86N;2.35E
Didier Bourdon;23;1;1959;10;0;36.73N;3.09E
Bernard Campan;4;4;1958;15;0;44.2N;0.61E
Pascal Légitimus;13;3;1959;10;5;48.86N;2.35E
Bruno Carette;26;11;1956;5;0;36.73N;3.09E
Dominique Farrugia;2;9;1962;8;15;46.13N;3.43E
Chantal Lauby;23;3;1948;14;0;44.56N;6.08E
Alain Chabat;24;11;1958;0;30;35.7N;0.63W
Patrick Timsit;15;7;1959;11;0;36.73N;3.09E
Pierre Palmade;23;3;1968;7;45;44.84N;0.58W
Chantal Ladesou;5;5;1948;12;0;50.69N;3.18E
Eric Carrière;24;5;1973;9;15;42.9N;1.6E
Francis Ginibre;17;6;1959;9;50;43.6N;1.44E
Laurent Gerra;29;12;1967;9;30;46.2N;5.23E
Valérie Lemercier;9;3;1964;21;20;49.9N;1.08E
Elie Sémoun;16;10;1963;2;30;48.86N;2.35E
Dany Boon;26;6;1966;6;25;50.69N;2.88E
Franck Dubosc;7;11;1963;3;0;49.4N;1.04E
Jean-Chistian Fraiscinet;14;5;1965;21;15;47.16N;1.57E
