Nom;Jour;Mois;Année;HeureTU;MinuteTU;Latitude;Longitude
Mathieu Ganio;16;3;1984;13;0;43.3N;5.37E
Mathias Heymann;1;10;1987;18;10;43.3N;5.37E
Germain Louvet;23;5;1993;20;50;46.78N;4.85E
Hugo Marchand;7;12;1993;17;25;47.22N;1.55W
Paul Marque;12;4;1997;10;20;43.7N;1.05W
Marc Moreau;6;11;1986;6;55;45.6N;0.99W
Guillaume Diop;6;3;2000;6;35;48.86N;2.35E
François Alu;3;12;1993;9;10;47.1N;2.37E
Jean-Paul Andréani;22;5;1929;2;0;49.43N;1.05E
Cyril Atanassoff;30;6;1941;3;30;48.88N;2.24E
Albert Aveline;23;12;1883;1;46;48.86N;2.35E
Jean Babilée;3;2;1923;21;30;48.86N;2.35E
Jean-Guillaume Bart;7;6;1972;6;0;48.94N;2.36E
Patrice Bart;30;7;1945;1;30;48.86N;2.35E
Kader Belarbi;18;11;1962;14;35;45.2N;5.74E
Jérémie Bélingard;19;8;1975;3;15;48.86N;2.35E
Jean-Pierre Bonnefous;9;4;1943;20;10;46.2N;5.23E
Max Bozzoni;30;5;1917;2;0;48.86N;2.35E
Stéphane Bullion;8;4;1980;13;30;45.76N;4.84E
Michael Denard;5;11;1944;10;10;51.05N;13.74E
Patrick Dupond;14;3;1959;8;0;48.86N;2.35E
Jean Guizerix;27;10;1945;15;40;48.86N;2.35E
Laurent Hilaire;8;11;1962;15;35;48.86N;2.35E
Josua Hoffalt;18;5;1984;22;5;43.69N;5.5E
Charles Jude;25;7;1953;2;45;10.38N;106.34E
Attilio Labis;5;9;1936;6;0;48.85N;2.44E
Manuel Legris;19;10;1964;8;55;48.86N;2.35E
Nicolas Le Riche;29;1;1972;15;10;48.94N;2.16E
Jean-Yves Lormeau;6;3;1952;4;30;10.38N;106.34E
Hervé Moreau;2;12;1977;2;0;48.84N;2.42E
Karl Paquette;19;12;1976;12;40;48.86N;2.35E
Benjamin Pech;3;4;1974;11;15;43.34N;3.22E
Michel Renault;15;12;1927;2;30;48.86N;2.35E
Wilfried Romoli;2;3;1963;18;40;48.94N;2.36E
Dorothee Gilbert;25;9;1983;12;30;43.6N;1.44E
Ludmila Pagliero;15;10;1983;11;25;34.6S;58.38W
Myriam Ould-Braham;14;1;1982;1;15;48.88N;2.27E
Amandine Albisson;30;1;1989;16;45;43.3N;5.37E
Laura Hecquet;8;4;1984;7;20;51.03N;2.38E
Léonore Baulac;10;5;1990;15;38;48.86N;2.35E
Valentine Colassante;5;3;1989;10;25;48.86N;2.35E
Josette Amiel;19;11;1930;15;0;48.82N;2.29E
Carole Arbo;24;9;1961;21;30;43.48N;1.56W
Claude Bessy;21;10;1932;4;0;48.86N;2.35E
Yvette Chauviré;22;4;1917;7;15;48.86N;2.35E
Isabelle Ciaravola;12;3;1972;5;45;41.92N;8.74E
Florence Clerc;23;7;1951;22;10;48.93N;2.9E
Émilie Cozette;8;8;1981;6;10;49.44N;1.1E
Lycette Darsonval;12;2;1912;1;0;49.05N;1.45W
Liane Daydé;27;2;1932;0;25;48.86N;2.35E
Aurelie Dupont;15;1;1973;10;30;48.86N;2.35E
Fanny Gaïda;7;9;1961;10;40;48.9N;2.09E
Marie-Agnès Gillot;7;9;1975;12;32;49.18N;0.37W
Isabelle Guérin;6;5;1961;0;0;48.88N;2.49E
Sylvie Guillem;23;2;1965;4;0;48.85N;2.35E
Dominique Khalfouni;23;6;1951;14;0;48.82N;2.42E
Geneviève Laffitte;6;2;1965;21;0;43.21N;2.35E
Françoise Legrée;15;7;1957;10;30;48.86N;2.35E
Agnès Letestu;1;2;1971;4;40;48.86N;2.35E
Monique Loudières;15;4;1956;14;15;48.76N;2.41E
Elisabeth Maurin;1;1;1963;6;30;47.47N;0.55W
Claire Motte;21;12;1937;6;30;47.64N;6.86E
Claire Osta;10;7;1970;4;50;48.78N;2.34E
Ethéry Pagava;13;3;1932;9;45;48.86N;2.35E
Marie-Claude Pietragalla;2;2;1963;6;45;48.86N;2.35E
Wilfride Piollet;28;4;1943;13;30;45.95N;5.44E
Élisabeth Platel;10;4;1959;13;0;48.86N;2.35E
Noëlla Pontois;24;12;1943;11;30;47.79N;1.07E
Jacqueline Rayet;26;6;1933;8;55;48.86N;2.35E
Solange Schwarz;12;11;1910;12;51;48.86N;2.35E
Claudette Scouarnec;19;10;1940;15;30;46.16N;1.15W
Ludmilla Tcherina;10;10;1924;4;30;48.86N;2.35E
Ghislaine Thesmar;18;3;1943;18;30;39.9N;116.4E
Nanon Thibon;1;11;1943;22;30;48.86N;2.35E
Christiane Vaussard;17;11;1923;11;45;48.88N;2.27E
Christiane Vlassi;5;6;1938;6;0;48.88N;2.27E
Claude de Vulpian;29;12;1952;0;10;48.86N;2.35E
