Nom;Jour;Mois;Année;HeureTU;MinuteTU;Latitude;Longitude
BERNARD LAMA;7;4;1963;1;0;47.4N;0.7E
FABIEN BARTHEZ;28;6;1971;9;0;42.9N;1.85E
LIONEL CHARBONNIER;25;10;1966;16;50;46.6N;0.3E
VINCENT CANDELA;24;10;1973;10;5;43.6N;3.1E
BIXENTE LIZARAZU;9;12;1969;16;55;43.4N;1.66O
LAURENT BLANC;19;11;1965;17;0;44.1N;4.1E
LILIAN THURAM;1;1;1972;4;20;16.24N;61.53O
FRANK LEBOEUF;22;1;1968;8;0;43.3N;5.37E
YOURI DJORKAEFF;9;3;1968;11;0;45.76N;4.84E
DIDIER DESCHAMPS;15;10;1968;15;50;43.49N;1.47O
ZINEDINE ZIDANE;23;6;1972;2;0;43.3N;5.37E
ROBERT PIRES;29;10;1973;4;50;49.29N;4.03E
BERNARD DIOMEDE;23;1;1974;10;45;47.1N;2.4E
ALAIN BOGHOSSIAN;27;10;1970;0;30;44.1N;6.2E
EMMANUEL PETIT;22;9;1970;14;10;49.9N;1.1E
STEPHANE GUIVARCH;6;9;1970;9;20;47.9N;3.9O
THIERRY HENRY;17;8;1977;16;45;48.68N;2.16E
DAVID TREZEGUET;15;10;1977;13;0;49.4N;1.1E
CHRISTOPHE DUGARRY;24;3;1972;19;30;44.8N;0.58O
