Nom;Jour;Mois;Année;HeureTU;MinuteTU;Latitude;Longitude
Alain Seban;15;7;1964;18;0;43.6N;1.44E
Alexandre Bompard;4;10;1972;11;0;45.44N;4.39E
Bernard Prevost;15;3;1943;8;0;50.64N;3.06E
Boris Boillon;9;12;1969;8;35;46.9N;6.36E
Bruno Bézard;19;5;1963;9;10;49.6N;3.22E
Bruno Racine;17;12;1951;13;0;48.86N;2.35E
Christian Noyer;6;10;1950;13;20;48.99N;2.3E
Dominique Bozo;28;1;1935;4;0;48.4N;0.09E
Etienne Roziers;11;8;1913;21;30;48.86N;2.35E
François Roussely;9;1;1945;0;0;44.78N;1.01E
Frederic Pechenard;12;3;1957;13;10;48.88N;2.27E
Frederic Salat-Baroux;12;7;1963;15;35;48.86N;2.35E
Gilles Menage;4;7;1943;22;20;48.78N;2.32E
Guillaume Pepy;26;5;1958;11;20;48.88N;2.27E
Henri Hurand;26;10;1941;22;15;48.09N;1.5E
Henry Bichat;26;3;1938;0;30;48.59N;6.49E
Henry Ingrand;19;8;1908;8;51;46.39N;0.41O
Jacques Rueff;23;8;1896;5;51;48.86N;2.35E
Jean Trichet;20;12;1942;22;0;45.76N;4.83E
Louis Gallois;26;1;1944;1;45;44.02N;1.35E
Marc Lambron;4;2;1957;14;0;45.76N;4.83E
Marc Tessier;21;7;1946;12;15;48.86N;2.35E
Marc Vienot;1;11;1928;12;0;48.86N;2.35E
Marcel Boiteux;9;5;1922;22;30;46.32N;0.46O
Martin Vial;8;2;1954;7;0;45.76N;4.83E
Martine Monteil;15;1;1950;16;45;48.85N;2.44E
Maurice Grimaud;15;11;1913;1;0;45.24N;4.67E
Michel Baroin;29;11;1930;2;30;48.86N;2.35E
Michel May;10;6;1925;16;0;48.86N;2.35E
Michel Morin;29;7;1945;2;45;48.86N;2.35E
Nathalie Duhamel;2;7;1948;15;30;48.83N;2.24E
Olivier Schrameck;27;2;1951;22;30;48.86N;2.35E
Paul Delouvrier;25;6;1914;5;0;48.02N;6.59E
Philippe Jaffré;2;3;1945;4;45;48.83N;2.41E
Pierre Moinot;29;3;1920;21;0;46.33N;0.29E
Pierre Mutz;15;11;1942;1;0;44.41N;0.99E
Pierre Pringuet;31;1;1950;12;30;48.86N;2.35E
Renaud Denoix de Saint Marc;24;9;1938;10;30;48.83N;2.24E
René Bousquet;11;5;1909;21;51;44.02N;1.35E
Richard Descoings;23;6;1958;7;0;48.86N;2.35E
Robert Mallet;15;3;1915;2;30;48.86N;2.35E
Stéphane Martin;29;5;1956;23;30;48.88N;2.27E
Stéphane Richard;23;8;1961;23;15;44.85N;0.6O
Thierry Tuot;2;9;1961;19;10;48.99N;1.71E
Valentin Abeille;8;8;1907;9;51;48.4N;0.09E
Véronique Cayla;5;7;1950;10;55;48.84N;2.22E
Xavier Gouyou-Beauchamp;25;4;1937;5;25;48.86N;2.35E
Xavier Musca;23;2;1960;3;30;42.7N;9.45E
Yves Bertrand;25;1;1944;9;55;43.66N;6.92E
Yves-Thibault de Silguy;22;7;1948;18;30;48.11N;1.68O
