Nom;Jour;Mois;Année;HeureTU;MinuteTU;Latitude;Longitude
Maxime Vachier-Lagrave;21;10;1990;2;5;48.50N;2.29E
Etienne Bacrot;22;1;1983;9;15;50.38N;3.03E
Christian Bauer;11;1;1977;19;50;49.1N;6.54E
Romain Edouard;28;11;1990;12;40;46.35N;0.20E
Laurent Fressinet;29;11;1981;23;10;43.43N;1.03O
Yannick Gozzoli;2;6;1983;15;0;43.18N;5.22E
Maxime Lagarde;16;3;1994;8;25;46.19N;0.28O
Sébastien Feller;11;3;1990;8;25;49.21N;6.10E
Jules Moussard;16;1;1995;14;55;48.51N;2.21E
Sébastien Mazé;8;2;1984;12;15;48.51N;2.21E
Matthieu Cornet;3;9;1985;22;0;44.49N;0.33O
Jean-Marc Degraeve;26;1;1971;5;50;50.44N;3.10E
Jean-Pierre Le Roux;18;5;1982;2;30;48.34N;3.09O
Anthony Wirig;3;2;1983;18;25;49.21N;6.10E
Fabien Libiszew;5;1;1984;7;30;45.26N;4.23E
Arnaud Hauchard;15;11;1971;19;2;49.27N;1.06E
Igor-Alexandre Nataf;2;5;1978;11;10;48.51N;2.21E
Manuel Apicella;19;4;1970;7;55;48.4N;2.18E
Olivier Renet;21;12;1964;22;25;44.5N;0.35O
Jean-Noël Riff;22;4;1981;16;55;47.45N;7.20E
Adrien Demuth;14;4;1991;7;30;20.53S;55.27E
Axel Delorme;7;5;1990;23;23;45.46N;4.50E
Marie Sebag;15;10;1986;14;50;48.51N;2.21E
Laurent Guidar;18;6;1981;17;40;44.03N;5.03E
Jonathan Dourerassou;10;4;1989;9;12;48.51N;2.21E
Eloi Relange;1;7;1976;12;40;48.51N;2.21E
Cyril Marcelin;16;5;1979;4;25;48.52N;2.13E
Eric Prié;14;3;1962;16;20;48.51N;2.21E
Jean-Luc Chabanon;13;8;1971;17;0;45.47N;3.05E
Emmanuel Bricard;4;5;1966;22;5;48.48N;2.08E
Marc Santo-Roman;13;9;1960;17;0;43.36N;1.27E
