Nom;Jour;Mois;Année;HeureTU;MinuteTU;Latitude;Longitude
Emmanuel Macron;21;12;1977;9;40;49.89N;2.3E
Marine Le Pen;5;8;1968;10;20;48.88N;2.27E
Jean-Luc Mélenchon;19;8;1951;8;20;35.76N;5.83O
Nicolas Sarkozy;28;1;1955;21;0;48.86N;2.35E
François Hollande;11;8;1954;23;10;49.44N;1.1E
Anne Hidalgo;19;6;1959;10;45;36.47N;6.2O
Manuel Valls;13;8;1962;19;0;41.38N;2.17E
Alain Juppé;15;8;1945;2;0;43.89N;0.5O
Najat Vallaud-Belkacem;4;10;1977;6;0;35.27N;3.02O
Edouard Philippe;28;11;1970;7;45;49.44N;1.1E
Benoit Hamon;26;6;1967;5;30;48.43N;4.6O
Christiane Taubira;2;2;1952;23;0;4.9N;52.31O
Ségolène Royal;22;9;1953;16;10;14.71N;17.47O
Christine Lagarde;1;1;1956;12;40;48.86N;2.35E
Nathalie Kosciusko-Morizet;14;5;1973;11;50;48.86N;2.35E
François Bayrou;25;5;1951;15;0;43.2N;0.22O
Bruno Le Maire;15;4;1969;12;15;48.88N;2.27E
François Fillon;4;3;1954;20;15;48.0N;0.2E
Marion Maréchal;10;12;1989;0;5;48.89N;2.09E
Valérie Pécresse;13;7;1967;23;10;48.88N;2.27E
Arnaud Montebourg;30;10;1962;20;45;47.46N;3.52E
Olivier Véran;22;4;1980;19;55;45.16N;5.77E
Cécile Duflot;1;4;1975;19;45;48.73N;2.45E
Christophe Castaner;3;1;1966;16;0;43.14N;5.85E
Jean Castex;25;6;1965;12;0;43.76N;0.3E
Laurent Wauquiez;12;4;1975;2;5;45.76N;4.84E
Gérald Darmanin;11;10;1982;12;5;50.35N;3.52E
Nicolas Dupont-Aignan;7;3;1961;19;30;48.86N;2.35E
Florian Philippot;24;10;1981;10;20;50.68N;3.14E
Nicolas Hulot;30;4;1955;7;50;50.63N;3.06E
François Ruffin;18;10;1975;4;30;50.95N;1.86E
Gilbert Collard;3;2;1948;10;20;43.29N;5.37E
Jean-François Copé;5;5;1964;13;20;48.84N;2.24E
Jean-Michel Blanquer;4;12;1964;1;0;48.86N;2.35E
Jean-Marc Ayrault;25;1;1950;10;0;47.01N;0.7O
Raphaël Glucksmann;19;6;1937;15;30;48.84N;2.24E
Philippe Poutou;14;3;1967;8;50;48.89N;2.5E
Laurent Fabius;20;8;1946;8;0;48.86N;2.35E
Nadine Morano;6;11;1963;12;45;48.69N;6.1E
Benjamin Griveaux;29;12;1977;22;15;46.77N;4.83E
Adrien Quatennens;23;5;1990;15;20;5.63N;3.06E
Eric Ciotti;28;9;1965;8;45;43.71N;7.2E
Marlène Schiappa;18;11;1982;9;50;48.86N;2.35E
Eric Dupond-Moretti;20;4;1961;12;0;50.28N;3.97E
Bernard Cazeneuve;2;6;1963;10;15;49.2N;2.58E
Michel Barnier;9;1;1951;15;40;45.2N;5.74E
Jordan Bardella;13;9;1995;13;42;48.92N;2.45E
Elisabeth Borne;18;4;1961;8;0;48.86N;2.35E
Xavier Bertrand;21;3;1965;11;20;48.96N;4.36E
